"ID","Rodada","CasaID","VisitanteID","PlacarCasa","PlacarVisitante"
211471,12,277,276,3,2
211472,12,264,303,2,0
211473,12,283,275,3,1
211474,12,294,292,0,3
211475,12,284,314,0,2
211476,12,265,266,1,1
211477,12,373,287,1,2
211478,12,315,293,1,1
211479,22,266,267,0,1
211480,22,262,293,2,0
211481,22,275,276,4,2
211482,22,264,373,0,1
211483,22,283,277,1,1
211484,22,294,287,0,1
211485,22,284,292,5,0
211486,22,265,263,1,2
211487,22,303,282,1,2
211488,22,314,315,1,0
211489,13,266,263,0,1
211490,13,262,284,0,1
211491,13,275,264,0,2
211492,13,276,373,2,2
211493,13,282,277,0,1
211494,13,293,283,0,2
211495,13,292,315,3,0
211496,13,287,267,1,4
211497,13,303,265,0,3
211498,13,314,294,1,4
211499,21,266,282,2,1
211500,21,262,373,2,0
211501,21,275,315,0,2
211502,21,264,287,0,1
211503,21,283,292,2,0
211504,21,294,277,0,0
211505,21,284,293,0,0
211506,21,265,267,3,0
211507,21,303,263,2,1
211508,21,314,276,1,1
211509,14,263,292,2,1
211510,14,267,277,0,0
211511,14,275,287,4,2
211512,14,264,293,2,2
211513,14,283,262,1,1
211514,14,294,266,1,2
211515,14,284,303,3,1
211516,14,265,314,1,1
211517,14,373,282,1,2
211518,14,315,276,2,0
211519,20,263,284,1,0
211520,20,267,275,1,1
211521,20,277,266,0,0
211522,20,276,283,3,2
211523,20,282,262,2,0
211524,20,293,265,4,1
211525,20,292,303,0,0
211526,20,287,314,0,1
211527,20,373,294,1,0
211528,20,315,264,0,0
211529,19,266,373,3,1
211530,19,262,287,0,2
211531,19,275,293,0,1
211532,19,264,292,3,1
211533,19,283,263,0,0
211534,19,294,315,2,0
211535,19,284,282,2,0
211536,19,265,276,2,1
211537,19,303,267,0,0
211538,19,314,277,0,0
211539,15,266,283,1,1
211540,15,262,275,2,2
211541,15,277,315,1,0
211542,15,276,267,1,0
211543,15,282,265,0,2
211544,15,293,263,0,0
211545,15,292,373,4,0
211546,15,287,284,1,3
211547,15,303,294,4,0
211548,15,314,264,0,0
211549,18,263,275,1,2
211550,18,267,283,0,3
211551,18,277,262,3,2
211552,18,276,294,1,2
211553,18,282,264,0,2
211554,18,293,314,5,0
211555,18,292,266,2,2
211556,18,287,303,3,1
211557,18,373,284,0,1
211558,18,315,265,1,1
211559,16,266,264,0,1
211560,16,262,294,2,1
211561,16,277,265,3,0
211562,16,276,284,1,1
211563,16,282,267,1,2
211564,16,293,303,0,2
211565,16,292,275,0,2
211566,16,287,315,1,2
211567,16,373,263,1,1
211568,16,314,283,1,0
211569,17,263,276,3,4
211570,17,267,293,0,1
211571,17,275,314,2,0
211572,17,264,262,1,1
211573,17,283,287,0,0
211574,17,294,282,0,2
211575,17,284,277,1,1
211576,17,265,292,1,3
211577,17,303,266,0,0
211578,17,315,373,1,2
