"ID","Apelido","ClubeID","PosicaoID"
70944,"Bruno Henrique",275,4
70986,"Léo Cittadini",277,4
70987,"Pablo Diogo",282,5
71043,"Leo",293,1
71066,"Mancuello",262,4
71090,"João Filipe",373,4
71116,"Roberto",315,2
71123,"Thiago Mendes",276,4
71162,"Vinícius",265,4
71227,"Maicon",276,3
71389,"Baumjohann",294,4
71479,"Lucho González",293,4
71549,"Kelvin",267,5
71571,"Fernando Miguel",287,1
71572,"Gabriel",284,3
71631,"Weverton",293,1
71704,"Manga Escobar",267,5
71709,"Cuéllar",262,4
71719,"Elton",303,4
71724,"Agenor",292,1
71818,"Bruno Grassi",284,1
71892,"Wellington Silva",265,2
71920,"Michel ",284,4
71927,"Diego Rosa",373,4
71937,"Juninho",265,4
72007,"Uillian Correia",287,4
72037,"Renan Fonseca",263,3
72079,"Bruno Cortez",284,2
72150,"Fernandinho",303,2
72168,"João Paulo",263,4
72290,"Jailson",275,1
72297,"Airton ",314,3
72362,"Rodrigo Lindoso",263,4
72376,"Cléber Reis",294,3
72386,"Hernane",265,5
72490,"Fred",287,3
72491,"Bressan",284,3
72565,"Luan",314,4
72595,"Mauricio Kozlinski",314,1
72603,"William Menezes",294,1
72605,"Vitor Hugo",275,3
72745,"Escudero",267,4
72871,"Cárdenas",287,4
72879,"Vladimir Hernández",277,5
72893,"Eduardo da Silva",293,5
73144,"Jorge Mendoza",303,4
73281,"Renê Júnior",265,4
73318,"Daniel Borges",373,2
73336,"Rafael Martins",294,1
73340,"Getterson",294,5
73384,"Samuel Xavier",292,2
73421,"Rafael Vaz",262,3
73446,"Éderson",293,5
73513,"Maranhão",303,5
73515,"Gabriel",262,5
73517,"Douglas Pires",265,1
73540,"Rogério",292,5
73619,"Wellington Nem",276,5
73620,"Bruno Alves",276,3
73635,"Rildo",294,5
73649,"Lucas Pratto",276,5
73721,"Marcos Vinícius",263,4
73800,"Rodrigo Caio",276,3
73869,"Lennon",283,2
73876,"Jomar",267,3
73896,"Geuvânio",262,5
73918,"Canteros",315,4
73974,"Alison",277,4
73978,"René",287,3
73991,"Walisson Maia",294,3
73992,"Rodinei",262,2
74060,"Luiz Antonio ",315,4
74061,"Gatito Fernández",263,1
74075,"Wallace Oliveira",284,2
74081,"Guilherme Costa",267,4
74083,"Adryan ",262,4
74134,"Arroyo",284,5
74140,"Élber",283,4
74213,"Alejandro Guerra",275,4
74271,"Edigar Junio",265,5
75295,"Paolo Guerrero",262,5
77500,"Yago",303,3
77529,"Leandro Silva",314,2
77544,"Jorginho",373,4
77551,"Thomás",292,4
77555,"Rodrigo Milanez",373,3
77556,"Bruno Brígido",294,1
77777,"João Schmidt ",276,4
77809,"William Pottker",303,5
77959,"Copete",277,5
77967,"Mena",292,2
78012,"Yuri Mamute",284,5
78077,"Madson",267,2
78086,"César",262,1
