"Rodada","ClubeID","AtletaID","Participou","Pontos","PontosMedia","Preco","PrecoVariacao","FS","PE","A","FT","FD","FF","G","I","PP","RB","FC","GC","CA","CV","SG","DD","DP","GS"
0,262,36540,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,262,36540,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,262,36540,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,262,36540,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,262,36540,TRUE,7.5,7.5,6.11,1.11,0,1,0,0,1,2,0,0,0,2,2,0,1,0,1,0,0,0
5,262,36540,TRUE,2.6,5.05,5.64,-0.47,1,2,0,0,2,2,0,0,0,4,2,0,2,0,1,0,0,0
6,262,36540,TRUE,10.4,6.83,7.76,2.12,2,5,1,0,2,3,0,0,0,7,2,0,2,0,1,0,0,0
8,262,36540,TRUE,0.2,5.17,6.25,-1.51,4,6,1,0,2,3,0,0,0,7,3,0,2,0,1,0,0,0
9,262,36540,TRUE,-0.8,3.98,5.92,-0.33,4,6,1,0,2,3,0,0,0,8,4,0,3,0,1,0,0,0
10,262,36540,FALSE,0,3.98,5.92,0,4,6,1,0,2,3,0,0,0,8,4,0,3,0,1,0,0,0
11,262,36540,FALSE,0,3.98,5.92,0,4,6,1,0,2,3,0,0,0,8,4,0,3,0,1,0,0,0
12,262,36540,FALSE,0,3.98,5.92,0,4,6,1,0,2,3,0,0,0,8,4,0,3,0,1,0,0,0
13,262,36540,FALSE,0,3.98,5.92,0,4,6,1,0,2,3,0,0,0,8,4,0,3,0,1,0,0,0
14,262,36540,FALSE,0,3.98,5.92,0,4,6,1,0,2,3,0,0,0,8,4,0,3,0,1,0,0,0
15,262,36540,FALSE,0,3.98,5.92,0,4,6,1,0,2,3,0,0,0,8,4,0,3,0,1,0,0,0
16,262,36540,TRUE,4,3.98,6.29,0.37,4,6,1,0,2,3,0,0,0,8,4,0,3,0,1,0,0,0
17,262,36540,TRUE,5.9,4.25,6.68,0.39,4,11,2,1,3,4,0,0,0,9,5,0,3,0,1,0,0,0
18,262,36540,TRUE,4.1,4.23,6.65,-0.03,5,11,2,1,3,5,0,0,0,11,6,0,3,0,1,0,0,0
19,262,36540,FALSE,0,4.23,6.65,0,5,11,2,1,3,5,0,0,0,11,6,0,3,0,1,0,0,0
20,262,36540,FALSE,0,4.23,6.65,0,5,11,2,1,3,5,0,0,0,11,6,0,3,0,1,0,0,0
21,262,36540,FALSE,0,4.23,6.65,0,5,11,2,1,3,5,0,0,0,11,6,0,3,0,1,0,0,0
22,262,36540,TRUE,6.4,4.47,7.02,0.37,5,12,2,1,3,5,0,0,0,12,6,0,3,0,2,0,0,0
23,262,36540,FALSE,0,4.47,7.02,0,5,12,2,1,3,5,0,0,0,12,6,0,3,0,2,0,0,0
24,262,36540,FALSE,0,4.47,7.02,0,5,12,2,1,3,5,0,0,0,12,6,0,3,0,2,0,0,0
25,262,36540,FALSE,0,4.47,7.02,0,5,12,2,1,3,5,0,0,0,12,6,0,3,0,2,0,0,0
26,262,36540,FALSE,0,4.47,7.02,0,5,12,2,1,3,5,0,0,0,12,6,0,3,0,2,0,0,0
27,262,36540,TRUE,2.8,4.3,6.53,-0.49,5,14,2,1,3,5,0,0,0,14,6,0,3,0,2,0,0,0
28,262,36540,FALSE,0,4.3,6.53,0,5,14,2,1,3,5,0,0,0,14,6,0,3,0,2,0,0,0
29,262,36540,TRUE,-1.3,3.79,5.72,-0.81,6,14,2,1,3,5,0,0,0,15,9,0,4,0,2,0,0,0
30,262,36540,FALSE,0,3.79,5.72,0,6,14,2,1,3,5,0,0,0,15,9,0,4,0,2,0,0,0
31,262,36540,TRUE,10,4.31,7.56,1.84,6,14,2,1,3,6,0,0,0,19,10,0,5,0,3,0,0,0
32,262,36540,FALSE,0,4.31,7.56,0,6,14,2,1,3,6,0,0,0,19,10,0,5,0,3,0,0,0
33,262,36540,FALSE,0,4.31,7.56,0,6,14,2,1,3,6,0,0,0,19,10,0,5,0,3,0,0,0
34,262,36540,FALSE,0,4.31,7.56,0,6,14,2,1,3,6,0,0,0,19,10,0,5,0,3,0,0,0
35,262,36540,TRUE,0.5,4.02,6.12,-1.44,7,14,2,1,3,6,0,0,0,19,10,0,5,0,3,0,0,0
36,262,36540,FALSE,0,4.02,6.12,0,7,14,2,1,3,6,0,0,0,19,10,0,5,0,3,0,0,0
37,262,36540,FALSE,0,4.02,6.12,0,7,14,2,1,3,6,0,0,0,19,10,0,5,0,3,0,0,0
38,262,36540,FALSE,0,4.02,6.12,0,7,14,2,1,3,6,0,0,0,19,10,0,5,0,3,0,0,0
0,275,36612,FALSE,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,275,36612,TRUE,5.1,5.1,9.27,1.27,0,2,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0
2,275,36612,FALSE,0,5.1,9.27,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0
3,275,36612,FALSE,0,5.1,9.27,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0
4,275,36612,FALSE,0,5.1,9.27,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0
5,275,36612,FALSE,0,5.1,9.27,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0
6,275,36612,TRUE,0.6,2.85,7.75,-1.52,2,3,0,0,0,0,0,0,0,3,5,0,1,0,1,0,0,0
8,275,36612,FALSE,0,1.77,7.28,0,4,6,0,0,0,0,0,0,0,3,6,0,1,0,1,0,0,0
9,275,36612,FALSE,0,1.77,7.28,0,4,6,0,0,0,0,0,0,0,3,6,0,1,0,1,0,0,0
10,275,36612,FALSE,0,1.77,7.28,0,4,6,0,0,0,0,0,0,0,3,6,0,1,0,1,0,0,0
11,275,36612,TRUE,3.6,2.23,7.56,0.28,4,8,0,0,0,0,0,0,0,4,11,0,1,0,2,0,0,0
12,275,36612,TRUE,-0.8,1.62,6.79,-0.77,4,8,0,0,0,0,0,0,0,4,11,0,1,0,2,0,0,0
13,275,36612,TRUE,0,1.35,6.8,0.01,4,9,0,0,0,0,0,0,0,4,12,0,1,0,2,0,0,0
14,275,36612,TRUE,0,1.16,6.72,-0.08,4,9,0,0,0,0,0,0,0,4,12,0,1,0,2,0,0,0
15,275,36612,TRUE,3.4,1.44,7.18,0.46,4,11,1,0,0,0,0,0,0,4,14,0,1,0,2,0,0,0
16,275,36612,TRUE,4.5,1.78,7.54,0.36,4,11,1,0,0,0,0,0,0,4,14,0,1,0,2,0,0,0
17,275,36612,FALSE,0,1.78,7.54,0,4,11,1,0,0,0,0,0,0,4,15,0,1,0,3,0,0,0
18,275,36612,TRUE,4.7,2.07,7.7,0.16,4,12,2,0,0,0,0,0,0,4,15,0,1,0,3,0,0,0
19,275,36612,TRUE,2.7,2.13,7.33,-0.37,6,12,2,0,0,0,0,0,0,5,15,0,1,0,3,0,0,0
20,275,36612,TRUE,0,1.95,6.88,-0.45,6,12,2,0,0,0,0,0,0,5,15,0,1,0,3,0,0,0
21,275,36612,FALSE,0,1.95,6.88,0,6,12,2,0,0,0,0,0,0,5,15,0,1,0,3,0,0,0
22,275,36612,FALSE,0,1.95,6.88,0,6,12,2,0,0,0,0,0,0,5,15,0,1,0,3,0,0,0
23,275,36612,FALSE,0,1.95,6.88,0,6,12,2,0,0,0,0,0,0,5,15,0,1,0,3,0,0,0
24,275,36612,FALSE,0,1.95,6.88,0,6,12,2,0,0,0,0,0,0,5,15,0,1,0,3,0,0,0
25,275,36612,FALSE,0,1.95,6.88,0,6,12,2,0,0,0,0,0,0,5,15,0,1,0,3,0,0,0
26,275,36612,TRUE,-0.1,1.79,6.62,-0.26,7,14,2,0,0,0,0,0,0,5,15,0,1,0,3,0,0,0
27,275,36612,FALSE,0,1.79,6.62,0,7,14,2,0,0,0,0,0,0,5,15,0,1,0,3,0,0,0
28,275,36612,FALSE,0,1.79,6.62,0,7,14,2,0,0,0,0,0,0,5,15,0,1,0,3,0,0,0
29,275,36612,FALSE,0,1.79,6.62,0,7,14,2,0,0,0,0,0,0,5,15,0,1,0,3,0,0,0
30,275,36612,FALSE,0,1.79,6.62,0,7,14,2,0,0,0,0,0,0,5,15,0,1,0,3,0,0,0
31,275,36612,FALSE,0,1.79,6.62,0,7,14,2,0,0,0,0,0,0,5,15,0,1,0,3,0,0,0
32,275,36612,FALSE,0,1.79,6.62,0,7,14,2,0,0,0,0,0,0,5,15,0,1,0,3,0,0,0
33,275,36612,FALSE,0,1.79,6.62,0,7,14,2,0,0,0,0,0,0,5,15,0,1,0,3,0,0,0
34,275,36612,TRUE,4.5,1.98,6.99,0.37,7,14,2,0,0,0,0,0,0,5,16,0,1,0,4,0,0,0
35,275,36612,FALSE,0,1.98,6.99,0,7,14,2,0,0,0,0,0,0,5,16,0,1,0,4,0,0,0
36,275,36612,FALSE,0,1.98,6.99,0,7,14,2,0,0,0,0,0,0,5,16,0,1,0,4,0,0,0
37,275,36612,TRUE,6.4,2.27,7.38,0.39,8,15,2,0,0,0,0,0,0,6,17,0,1,0,5,0,0,0
38,275,36612,FALSE,0,2.27,7.38,0,8,15,2,0,0,0,0,0,0,6,17,0,1,0,5,0,0,0
25,282,36940,FALSE,0,0,8.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,282,36940,TRUE,4.6,4.6,9.12,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,282,36940,TRUE,6.09,5.35,10.36,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,282,36940,TRUE,3.17,4.62,10.14,-0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,282,36940,TRUE,3.24,4.27,10.22,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,282,36940,TRUE,6.47,4.71,11.18,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,282,36940,TRUE,3.73,4.55,10.83,-0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,282,36940,TRUE,2.36,4.24,10.66,-0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,282,36940,TRUE,3.36,4.13,10.88,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,282,36940,TRUE,4.92,4.22,11.19,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,282,36940,TRUE,4.59,4.26,11.32,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,282,36940,TRUE,7.55,4.56,12.04,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,282,36940,TRUE,4.85,4.58,11.77,-0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,282,36940,TRUE,6.08,4.7,12.08,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,293,36943,FALSE,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,293,36943,TRUE,1.64,1.64,8.23,-1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
