"ID","Apelido","ClubeID","PosicaoID"
85882,"Diogo",285,2
73074,"Rafael Copetti ",267,1
72167,"Mazinho",264,5
38162,"Fred",266,5
75295,"Paolo Guerrero",264,5
75295,"Paolo Guerrero",262,5
38246,"Robinho",277,5
37770,"Marcelo Grohe",284,1
52950,"Victor",282,1
38055,"Rogério Ceni",276,1
62023,"D'Alessandro",285,4
38910,"Ricardo Oliveira",277,5
73649,"Lucas Pratto",282,5
68953,"Leandro Damião",283,5
86759,"Luan",284,5
63219,"Luan",282,5
36612,"Zé Roberto",275,2
68923,"Gil",264,3
68920,"Dudu",275,5
87863,"De Arrascaeta",283,4
50301,"Everton",262,4
38219,"Alex",285,4
68911,"Diego Souza",292,4
50533,"Guiñazu",267,4
37656,"Fábio",283,1
62047,"Jean",266,4
62977,"Ganso",276,4
82456,"Rafhael Lucas",264,5
82456,"Rafhael Lucas",294,5
37919,"Luis Fabiano",276,5
68744,"Emerson",264,5
68744,"Emerson",262,5
42116,"Willian",283,5
37613,"Dagoberto",267,5
69325,"Aránguiz",285,4
37941,"Borges",303,5
38435,"Valdivia",275,4
62128,"Walter",293,5
38530,"Cleiton Xavier",275,4
73896,"Geuvânio",277,5
37644,"Rodrigo",267,3
54424,"Willians",283,4
89256,"Gerson",266,4
60803,"Souza",276,4
69240,"Dátolo",282,4
78435,"Vitinho",285,5
51548,"Giuliano",284,4
38315,"Jadson",264,4
80370,"Edson",266,4
37653,"Nilmar",285,5
62104,"Robinho",275,4
42234,"Cássio",264,1
41218,"Magrão",292,1
50294,"Guilherme",282,4
78946,"Dória",276,3
81150,"Mayke",283,2
51319,"Renato Cajá",303,4
38738,"Douglas",284,4
71495,"Lisandro López",285,5
63013,"Marcos Rocha",282,2
50459,"Léo",283,3
50317,"David Braz",277,3
37607,"Michel Bastos",276,4
73635,"Rildo",303,5
73635,"Rildo",264,5
52190,"Ralf",264,4
62136,"Marcelo Oliveira",283,6
62136,"Marcelo Oliveira",275,6
68834,"Rithely",292,4
71631,"Weverton",293,1
37673,"Alecsandro",262,5
37673,"Alecsandro",275,5
80692,"Luan",267,3
70360,"Eduardo Sasha",285,5
63008,"Rafael Toloi",276,3
84263,"Jemerson",282,3
62121,"Vanderlei",277,1
60788,"Marquinhos",283,5
78578,"Paulinho",262,5
45125,"Tite",264,6
69022,"Marcelo Cirino",262,5
38957,"Rafael Marques",275,5
68887,"Gum",266,3
38398,"Renato Augusto",264,4
54395,"Elias",264,4
71234,"Cristian Rodríguez",284,4
74140,"Élber",292,4
40025,"Levir Culpi",282,6
36540,"Juan",285,3
69249,"Martín Silva",267,1
38908,"Renato",277,4
42145,"Egídio",275,2
68925,"Leonardo Silva",282,3
80538,"Marlon",266,3
50462,"Leandro Almeida",264,3
50462,"Leandro Almeida",294,3
50462,"Leandro Almeida",275,3
73918,"Canteros",262,4
84848,"Erik",290,5
38067,"Danilo",264,4
68698,"Bruno Silva",315,4
88269,"Centurión",276,5
78605,"Gabriel",275,4
84791,"Kenedy",266,5
60853,"Julio Dos Santos",267,4
49674,"Fabrício",283,2
72386,"Hernane",292,5
83266,"Marcos Guilherme ",293,4
37917,"Elano",277,4
38229,"Fábio Santos",264,2
68929,"Thiago Ribeiro",282,5
73806,"Samuel ",292,5
38150,"Marquinhos",314,4
38394,"Thiago Heleno",316,3
42213,"Fernando Bob",303,4
70163,"Milton Cruz",276,6
52253,"Réver",285,3
78077,"Madson",267,2
38100,"Durval",292,3
38064,"Denilson",276,4
42500,"Fagner",264,2
38279,"Wellington Paulista",264,5
